Name,Parameters,,,,,,Markers detected (out of 50) at various distances (mm),,,,,,,,,,Performance (FPS),Classifications,
,Training Set Size,Classifier Size,Number of Splits,Marker Style,Scale Factor,Minimum Neighbours,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,,Correct,Incorrect
12x12 pixels,3000,12,3,2,1.2,1,50,50,45,43,11,3,0,0,0,0,17.2,559,78
16x16 pixels,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,870,223
20x20 pixels,3000,20,3,2,1.2,1,50,50,50,48,44,0,0,0,0,0,17.2,898,283
1 split,3000,16,1,2,1.2,1,50,49,50,50,36,1,0,0,0,0,17.2,828,119
2 splits,3000,16,2,2,1.2,1,50,50,50,50,50,35,0,0,0,0,17.2,860,211
3 splits,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,870,223
1000 training set,1000,16,3,2,1.2,1,50,50,50,49,43,19,0,0,0,0,17.2,869,257
3000 training set,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,870,223
5000 training set,5000,16,3,2,1.2,1,50,50,50,50,50,25,0,0,0,0,17.2,874,194
1.1 scaling factor,3000,16,3,2,1.1,1,50,50,48,49,43,32,0,0,0,0,16.1,940,462
1.2 scaling factor,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,870,223
1.3 scaling factor,3000,16,3,2,1.3,1,50,50,22,17,6,1,0,0,0,0,23.5,779,113
1 min. neighbour,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,870,223
2 min. neighbours,3000,16,3,2,1.2,2,50,50,50,50,23,2,0,0,0,0,17.2,789,55
3 min. neighbours,3000,16,3,2,1.2,3,50,50,41,32,9,0,0,0,0,0,17.2,729,19
3.5cm marker,3000,16,3,2,1.2,1,50,48,31,7,0,0,0,0,0,0,17.2,,
5.0cm marker,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,,
7.5cm marker,3000,16,3,2.5,1.2,1,50,50,50,50,50,50,50,39,36,30,17.2,,
Normal Marker,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,17.2,,
New Marker,3000,14,1,1,1.2,1,50,50,50,15,10,0,0,0,0,0,17.2,,
