Name,Parameters,,,,,,Markers detected (out of 50) at various distances (mm),,,,,,,,,,,,,,,,,,,,,,,,Performance (FPS),Classifications,
,Training Set Size,Classifier Size,Number of Splits,Marker Style,Scale Factor,Minimum Neighbours,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500,,Correct,Incorrect
12x12 pixels,3000,12,3,2,1.2,1,50,50,45,43,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,559,78
16x16 pixels,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
20x20 pixels,3000,20,3,2,1.2,1,50,50,50,48,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,898,283
1 split,3000,16,1,2,1.2,1,50,49,50,50,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,828,119
2 splits,3000,16,2,2,1.2,1,50,50,50,50,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,860,211
3 splits,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
1000 training set,1000,16,3,2,1.2,1,50,50,50,49,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,869,257
3000 training set,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
5000 training set,5000,16,3,2,1.2,1,50,50,50,50,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,874,194
1.1 scaling factor,3000,16,3,2,1.1,1,50,50,48,49,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,940,462
1.2 scaling factor,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
1.3 scaling factor,3000,16,3,2,1.3,1,50,50,22,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,779,113
1 min. neighbour,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
2 min. neighbours,3000,16,3,2,1.2,2,50,50,50,50,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,789,55
3 min. neighbours,3000,16,3,2,1.2,3,50,50,41,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,729,19
35 mm marker,3000,16,3,2,1.2,1,50,48,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
50 mm marker,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
75 mm marker,3000,16,3,2,1.2,1,50,50,50,50,50,50,50,46,38,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
100 mm marker,3000,16,3,2,1.2,1,50,50,50,50,50,50,50,50,50,50,49,48,48,45,35,21,14,7,3,0,0,0,0,0,17.2,,
200 mm marker,3000,16,3,2,1.2,1,50,50,50,50,50,50,50,50,50,50,50,50,50, 50,50,50,49, 49,45,46,40, 38,36,20, 17.2,,
Normal Marker,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
New Marker,3000,14,1,1,1.2,1,50,50,50,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
0 degrees,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
15 degrees,3000,16,3,2,1.2,1,50,50,50,50,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
30 degrees,3000,16,3,2,1.2,1,50,50,49,50,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
45 degrees,3000,16,3,2,1.2,1,50,50,50,48,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
60 degrees,3000,16,3,2,1.2,1,50,50,43,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
75 degrees,3000,16,3,2,1.2,1,50,47,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,,
BASIC mode,3000,16,3,2,1.2,1,50,50,50,50,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,870,223
CORE mode,3000,16,3,2,1.2,1,50,50,50,50,42,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,848,152
ALL mode,3000,16,3,2,1.2,1,50,50,50,37,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,808,133
